Subject,Body
"""FW: Reference TST123456""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>
Sent: Thursday, November 19, 2020 5:50 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: Reference TST12345678
 
Dear Test Pension 
 
Further to your later dated 1 November 2020 requesting a copy of the funeral expenses paid in full. I have attached a copy. Please could confirm receipt 
 
 
Kind Regards
ABC XYZ
"""
"""FW: Test Pension Fund - Late Mr ABC XYZ""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com> 
Sent: Thursday, November 19, 2020 11:42 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: Re: Ford Pension Fund - Late Mr ABC XYZ
 
Hi,
 
Please see information below which had been already provided
 
ABC XYZ
 
Address - 10 Test Road, Test Street, AA12 123
 
DOB - 01/01/1400
 
National Insurance - ZZ123123Z
 
Thanks


-----Original Message-----
From: test.pensions@pensions.com
To: abc.xyz@testmail.com
Sent: Thu, Nov 19, 2020 8:18 am
Subject: Test Pension Fund - Late Mr ABC XYZ
Dear ABC XYZ
Test Pension Fund
Thank you for your email regarding the Test Pension Fund. Please accept our apologies for the delay in responding to you.
To enable us to answer your enquiry, please could you provide the member's full address, date of birth and National Insurance number for data verification purposes?
If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com.
Yours sincerely
ABC XYZ| Administrator | Customer Support Centre
Test Pensions | 10 Test Road | Test Street | AA12 123
Direct Dial: +91 012345678
testfund@fincorp.com <mailto:testfund@fincorp.com> 
From: ABC XYZ<abc.xyz@testmail.com>
Sent: 11 November 2020 10:35
To: Test Pensions
Subject: ABC XYZ Funeral Benefit - TST12345678
Hi, 
I am writing to you in regards to the funeral benefit payment in reference to my Husband ABC XYZ, please see attached the documentation required.
Name - ABC XYZ
Relationship - Wife
National insurance number - ********* 
Fund Name - Mr ABC XYZ
Reference - TST12345678
Regards,
ABC XYZ
"""
"""FW: Test Pension Fund- ABC XYZ""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com> 
Sent: Monday, November 23, 2020 1:05 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: RE: Test Pension Fund- ABC XYZ
 
Respected ABC XYZ,
Administrator,
Customer Support Centre,
 
Thank you for your response regrading FPF and condolences for our loss. The requisite detail is as under:-
 
·         ABC XYZ
·         Nephew
·         01/01/1400 ( 1st January 1400)
·         01/01/1400 ( 1st January 1400)
·         1st January 1400.
·         Yes, death was registered and death certificate got.
·         Yes, The widow in old age.
·         1st January 1400
·         The contact number of widow is + +91 012345678, but due to old age she is unable to talk. You may contact me over my cell no. + +91 012345678
 
Looking forward your kind response.
 
Yours truly,
 
ABC 
Cell No. +91 012345678
Official Email:  abc.xyz@testmail.com <mailto:atiq_rehman@nbp.com.pk>  
 
From: Test Pensions <test.pensions@pensions.com> 
Sent: Friday, November 20, 2020 3:32 AM
To: ABC XYZ 
Subject: Test Pension Fund- ABC XYZ
 
Dear ABC XYZ
 
Test Pension Fund
 
Thank you for your email regarding the Ford Pension Fund. Please accept our apologies for the delay in responding to you.
 
Please accept my sincerest condolences for your loss. 
 
In order to assist us, could you please provide us with the following details:
 
·         Members Name:
 
·         Emailer’s relation to member:
 
·         Date of birth:
 
·         Date of death:
 
·         Member’s address at date of death:
 
·         Has the death been registered and Death Certificate issued:
 
·         Did the member have any financial dependents?
 
·         Address for condolence:
 
·         Contact number:
 
If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com.
 
Yours sincerely
 
ABC XYZ| Administrator | Customer Support Centre
Test Pensions | 10 Test Road | Test Street | AA12 123
Direct Dial: +91 012345678
test.pensions@pensions.com <mailto:test.pensions@pensions.com> 
 
 
From: ABC XYZ<abc.xyz@testmail.com>
Sent: 11 November 2020 06:38
To: Test Pensions
Subject: Fw: Intimation of Death and request for procedure to get payment of funds to Widow MRS ABC XYZ
 
The correct official email is  abc.xyz@testmail.com <mailto:atiq_rehman@nbp.com.pk> 
 
Thanks
 
 
----- Forwarded message -----
From: ABC XYZ
To: abc.xyz@testmail.com 
Sent: Tuesday, 10 November 2020, 10:32:27 pm GMT-8
Subject: Intimation of Death and request for procedure to get payment of funds to Widow MRS ABC XYZ
 
Dear Team,
 
First, I introduce my self, my name is ABC XYZ, and working in the Fin Corp as Assistant Vice President. I am engaged in delivering training to our Human Capital. My uncle, Mr. ABC XYZ died on Jan 1, 2020, at home and buried in Rawalpindi. His particulars are as under:-
 
1. Test Pensions Fund Reference: TST12345678
 
The captioned provided information has been obtained from a letter dated 7th February 2020 duly signed by Mr. ABC XYZ Senior Manager- Payroll
 
My uncle was also getting a UK State Pension outside the UK under Reference No. ****. 
 
Kindly requested to guide us to proceed further in the matter for smooth payment to Widow from all related institutions including Fin Corp AA12 123. The 
 
particulars of the widow, who is also still getting her own UK State Pension outside the UK under Reference No. ******. 
 
The widow in old age and she is residing with her daughter at the following new/change mailing address;-
 
"" 10 Test Road, Test Street, AA12 123""
 
You are kindly requested to please guide us on the matter for the fixation of pension and end service benefits.
 
Thanks & regards
 
Yours Truly,
 
ABC XYZ
Cell No +91 012345678
Official Email: abc.xyz@testmail.com <mailto:abc.xyz@testmail.com>  
"""
"""FW: Test Pension Scheme -Late Mrs ABC XYZ""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com> 
Sent: Monday, November 23, 2020 1:56 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: Re: Test Pension Scheme -Late Mrs ABC XYZ
 
Sorry forgot to add into my last email 
Yes the death has been registered on 1 January. I am still waiting for certificate to arrive in post . Could not collect because of covid ,
Thanks 
ABC XYZ
Sent from my iPhone 

On 23 Nov 2020, at 03:36, <test.pensions@pensions.com> <test.pensions@pensions.com> wrote:
	Dear ABC XYZ
	Test Pension Scheme
	
	
	
	Thank you for your email regarding the Test Pension Scheme.
	Please accept my sincerest condolences for your loss. 
	In order to assist us, could you please provide us with the following details:
	·         Date of death:
	·         Member’s address at date of death:
	·         Has the death been registered and Death Certificate issued:
	·         Did the member have any financial dependents?
	·         Address for condolence:
	·         Also please reconfirm member’s national insurance number
	·         Contact number
	Should you have any further queries please do not hesitate to contact the Customer Support Centre between 8.30am and 5.30pm, Monday to Friday, on our helpline +91 012345678. Alternatively, please e-mail us at test.pensions@pensions.com 
	Yours sincerely 
	
	ABC XYZ| Administrator | Customer Support Centre
	Test Pensions | 10 Test Road | Test Street | AA12 123
	Direct Dial: +91 012345678
	fin.corp@testmail.com <mailto:fin.corp@testmail.com> 
	-----Original Message-----
	From: ABC XYZ<abc.xyz@testmail.com> 
	Sent: 22 November 2020 17:13
	To: Test Pension Scheme
	Subject: Re: TST12345678
	Hello re the below email sent on behalf of my mother ABC XYZ (deceased) . Information needed 
	**** National insurance number
	**** Date of birth 
	Many thanks 
	ABC XYZ (Daughter)
	Sent from my iPhone 
	> On 19 Nov 2020, at 10:56, Susan Evans < abc.xyz@testmail.com> wrote:
	> 
	> Hello 
	> Re the above pension plan for Mrs ABC XYZ. I would just like to inform you that my mother passed away on 1st January 2020. Could you please cancel any further payments made that my mother won’t be entitled to . Any problems please advise and I’ll try my best to assist you 
	> 
	> Kind Regards 
	> ABC XYZ
	> (Deceased’s Daughter )
	> 
	> Sent from my iPhone 
"""
"""FW: Test Pensions - ABC XYZ's - 12345 - Funeral Fee""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com> 
Sent: Thursday, November 19, 2020 9:18 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: Test Pensions - ABC XYZ's - 12345 - Funeral Fee
 
To : Test Pensions,
 
Please can you settle funeral payment in relation to Test Pensions of ABC XYZ– Fin 12345
 
The funeral payment was settled by Mr ABC’s brother, ABC XYZ.
 
Copy of funeral invoice and confirmation of payment from Mr ABC XYZ are attached.
 
Sort code : 01-02-03
A/c ending 123
 
Kind regards,
ABC XYZ
Supervisor - HR Welfare Team 
10 Test Road,
Test Street,
AA12 123
Tel : +91 012345678 
Fax : +91 012345678 
Email : in.corp@testmail.com


From: ABC XYZ
Sent: 26 October 2020 13:09
To: ABC XYZ
Subject: ABC XYZ's funeral items
 
Hello ABC, 
 
Please find attached, the invoice and full payment details for my brother ABC XYZ’s funeral.
 
Many thanks 
ABC XYZ.
 
"""
"""FW: Test Pensions Death Approval - Mr ABC XYZ -  TST12345678""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>> 
Sent: Tuesday, November 17, 2020 7:21 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: RE: Test Pensions Death Approval - Mr ABC XYZ -  TST12345678
 
ABC XYZ,
 
I agree with the recommendation.
 
From: test.pensions@pensions.com
Sent: 16 November 2020 17:06
To: Test Pensions
Subject: Test Pensions Death Approval - Mr ABC XYZ -  TST12345678
 
Test Pensions – Mr ABC XYZ – Death in Retirement
 
Please find attached the documentation relating to the above late member who died whilst in receipt of his pension. The member was a widower at the date of death.
 
This case is being referred to the Committee because the member did not leave a Nomination Form but left a Will in favour of his daughter - Ms ABC XYZ. 
 
Mr XYZ survived by a long term partner however she has indicated that she was not financially dependant on him.
 
It would be our recommendation that Lump sum death benefit is paid to his Daughter in accordance to his Will.
 
Please would you agree with this recommendation.
 
Kind Regards
 
 
ABC XYZ (Mrs) | Senior Administrator 
Test Pensions | 10 Test Road | Test Street | AA12 123
Direct Dial: +91 012345678
 
Fin Corp
 
"""
"""FW: Test Pensions Death Approval - Mr ABC XYZ -  TST12345678""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>> 
Sent: Tuesday, November 17, 2020 7:21 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: RE: Test Pensions Death Approval - Mr ABC XYZ -  TST12345678
 
ABC XYZ,
 
I agree with the recommendation.
 
From: test.pensions@pensions.com
Sent: 16 November 2020 17:06
To: Test Pensions
Subject: Test Pensions Death Approval - Mr ABC XYZ -  TST12345678
 
Test Pensions – Mr ABC XYZ – Death in Retirement
 
Please find attached the documentation relating to the above late member who died whilst in receipt of his pension. The member was a widower at the date of death.
 
This case is being referred to the Committee because the member did not leave a Nomination Form but left a Will in favour of his daughter - Ms ABC XYZ. 
 
Mr XYZ survived by a long term partner however she has indicated that she was not financially dependant on him.
 
It would be our recommendation that Lump sum death benefit is paid to his Daughter in accordance to his Will.
 
Please would you agree with this recommendation.
 
Kind Regards
 
 
ABC XYZ (Mrs) | Senior Administrator 
Test Pensions | 10 Test Road | Test Street | AA12 123
Direct Dial: +91 012345678
 
Fin Corp
 
"""
"""FW: Test Pensions Death Approval - Mr ABC XYZ -  TST12345678""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>> 
Sent: Tuesday, November 17, 2020 7:21 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: RE: Test Pensions Death Approval - Mr ABC XYZ -  TST12345678
 
ABC XYZ,
 
I agree with the recommendation.
 
From: test.pensions@pensions.com
Sent: 16 November 2020 17:06
To: Test Pensions
Subject: Test Pensions Death Approval - Mr ABC XYZ -  TST12345678
 
Test Pensions – Mr ABC XYZ – Death in Retirement
 
Please find attached the documentation relating to the above late member who died whilst in receipt of his pension. The member was a widower at the date of death.
 
This case is being referred to the Committee because the member did not leave a Nomination Form but left a Will in favour of his daughter - Ms ABC XYZ. 
 
Mr XYZ survived by a long term partner however she has indicated that she was not financially dependant on him.
 
It would be our recommendation that Lump sum death benefit is paid to his Daughter in accordance to his Will.
 
Please would you agree with this recommendation.
 
Kind Regards
 
 
ABC XYZ (Mrs) | Senior Administrator 
Test Pensions | 10 Test Road | Test Street | AA12 123
Direct Dial: +91 012345678
 
Fin Corp
 
"""
"""FW: Test Pensions Death Approval - Mr ABC XYZ -  TST12345678""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>> 
Sent: Tuesday, November 17, 2020 7:21 PM
To: Test Pensions <test.pensions@pensions.com>
Subject: RE: Test Pensions Death Approval - Mr ABC XYZ -  TST12345678
 
ABC XYZ,
 
I agree with the recommendation.
 
From: test.pensions@pensions.com
Sent: 16 November 2020 17:06
To: Test Pensions
Subject: Test Pensions Death Approval - Mr ABC XYZ -  TST12345678
 
Test Pensions – Mr ABC XYZ – Death in Retirement
 
Please find attached the documentation relating to the above late member who died whilst in receipt of his pension. The member was a widower at the date of death.
 
This case is being referred to the Committee because the member did not leave a Nomination Form but left a Will in favour of his daughter - Ms ABC XYZ. 
 
Mr XYZ survived by a long term partner however she has indicated that she was not financially dependant on him.
 
It would be our recommendation that Lump sum death benefit is paid to his Daughter in accordance to his Will.
 
Please would you agree with this recommendation.
 
Kind Regards
 
 
ABC XYZ (Mrs) | Senior Administrator 
Test Pensions | 10 Test Road | Test Street | AA12 123
Direct Dial: +91 012345678
 
Fin Corp
 
"""
"""FW: Test pensions Death Approval - Mr ABC XYZ - TST12345678""",""" 
 
From: ABC XYZ<abc.xyz@testmail.com>
Sent: Tuesday, November 17, 2020 11:22 PM
To: Test Pensions <test.pensions@pensions.com>
Cc: Test IFA<test.ifa@fincorp.com>
Subject: Re: Test pensions Death Approval - Mr ABC XYZ - TST12345678
 
Hi ABC XYZ,
I support the recommendation in respect of Mr ABC XYZ. 
Thanks. 
ABC XYZ. 
________________________________

From: test.pensions@pensions.com
Sent: Tuesday, November 17, 2020 5:18:34 PM
To: Test Pensions 
Cc: abc.xyz@testmail.com 
Subject: Test pensions Death Approval - Mr ABC XYZ - TST12345678
 
Test Pension Plan - Mr ABC XYZ - Death After Retirement
Please find attached the documentation relating to the above late pensioner who died whilst in receipt of his pension. The Committee are being asked to consider the spouse’s pension and the lump sum death benefit of £1000.
This case is being referred to the Committee as the member has left a nomination form in favour of his Ex spouse - Mrs ABC XYZ and a Will in favour of current wife - Mrs ABC XYZ.
It would be our recommendation that the lump sum and pension to be paid to his current spouse as per the recent Will.
Please would you agree with this recommendation?
Regards
ABC XYZ
Senior Administrator
Fin Corp Ltd. | 10 Test Road | Test Street | AA12 123
P: +91 012345678
"""
"""FW: [WARNING: MESSAGE ENCRYPTED]Test Pension Scheme [MESSAGE ENCRYPTED]""",""" 
 
From: Test Pensions <test.pensions@pensions.com>
Sent: Friday, November 20, 2020 9:59 AM
To: Test Pensions <test.pensions@pensions.com>
Subject: Re: [WARNING: MESSAGE ENCRYPTED]Test Pension Scheme [MESSAGE ENCRYPTED]
 
Hello 
Thank you for your email;
Regarding the password protection; You will have realised we live in Australia; so phoning a tel number is not an option: You are not making this easy at all. Please provide email link, or other option.
Plus, and much more importantly;
I forwarded original documentation to you; you have not acknowledged receipt, or that you have forwarded the Death cert, our Marriage Cert, or my Birth Cert back to me;
Please organise this if not already in transit as I have not heard back, and I did ask that someone let me know the documents arrived there safely and when they would be returned to me.
I require these documents to finalise ABC’s tax return here in Australia.
I look forward to hearing from you at your earliest convenience
Thank you
ABC


-----Original Message-----
From: test.pensions@pensions.com
To: abc.xyz@testmail.com
Sent: Fri, 20 Nov 2020 12:16
Subject: [WARNING: MESSAGE ENCRYPTED]Test Pension Scheme [MESSAGE ENCRYPTED]
Our Reference: TST12345678
Member: Mr ABC XYZ
Dear Mrs ABC XYZ,
I write with reference to the above late member’s benefits from the Scheme.
Please find attached a Death pack. This document has been password protected for security reasons. Please contact us on the number below to obtain the password required to access this document.
Should you have any further queries please do not hesitate to contact the Test Pensions Scheme Customer Service Team between 9.00am and 5.00pm, Monday to Friday, on our helpline +91 012345678. Alternatively, please e-mail us at test.pensions@pensions.com 
Kind regards,
Test Pensions
Test Pensions | 10 Test Road | Test Street | AA12 123
Direct Dial: +91 012345678
"""
"""FW: [WARNING: MESSAGE ENCRYPTED]Test Pension Scheme [MESSAGE ENCRYPTED]""",""" 
 
From: Test Pensions <test.pensions@pensions.com>
Sent: Friday, November 20, 2020 9:59 AM
To: Test Pensions <test.pensions@pensions.com>
Subject: Re: [WARNING: MESSAGE ENCRYPTED]Test Pension Scheme [MESSAGE ENCRYPTED]
 
Hello 
Thank you for your email;
Regarding the password protection; You will have realised we live in Australia; so phoning a tel number is not an option: You are not making this easy at all. Please provide email link, or other option.
Plus, and much more importantly;
I forwarded original documentation to you; you have not acknowledged receipt, or that you have forwarded the Death cert, our Marriage Cert, or my Birth Cert back to me;
Please organise this if not already in transit as I have not heard back, and I did ask that someone let me know the documents arrived there safely and when they would be returned to me.
I require these documents to finalise ABC’s tax return here in Australia.
I look forward to hearing from you at your earliest convenience
Thank you
ABC


-----Original Message-----
From: test.pensions@pensions.com
To: abc.xyz@testmail.com
Sent: Fri, 20 Nov 2020 12:16
Subject: [WARNING: MESSAGE ENCRYPTED]Test Pension Scheme [MESSAGE ENCRYPTED]
Our Reference: TST12345678
Member: Mr ABC XYZ
Dear Mrs ABC XYZ,
I write with reference to the above late member’s benefits from the Scheme.
Please find attached a Death pack. This document has been password protected for security reasons. Please contact us on the number below to obtain the password required to access this document.
Should you have any further queries please do not hesitate to contact the Test Pensions Scheme Customer Service Team between 9.00am and 5.00pm, Monday to Friday, on our helpline +91 012345678. Alternatively, please e-mail us at test.pensions@pensions.com 
Kind regards,
Test Pensions
Test Pensions | 10 Test Road | Test Street | AA12 123
Direct Dial: +91 012345678
"""
"""Mr LMNO TEST Group Pension Scheme Ref TST12345678""","""
From: abc.xyz@testmail.com
Sent: 03 October 2020 14:15
To: test.pensions@pensions.com
Subject: Mr LMNO TEST Group Pension Scheme Ref TST12345678

Dear Sir / Madam

I write to you as representative of my father LMNO to inform you that he sadly passed away on 1st January 1400

My understanding is that LMNO has two pensions with TEST (£111.11 and £11.11 net / month)

If you can please let me know what needs to happen next, and if you require any further information from me at this time?

Thank you

ABC

"""
